user_id,item_id,sentiment,items_count,playtime_forever,genres,app_name,price,developer,release_year
76561197970982479,1250,1,277,10006.0,Action,Killing Floor,19.99,Tripwire Interactive,2009.0
evcentric,248820,2,137,2328.0,Action,Risk of Rain,9.99,"Hopoo Games, LLC",2013.0
doctr,250320,2,541,778.0,Adventure,The Wolf Among Us,24.99,Telltale Games,2013.0
maplemage,211420,1,629,12347.0,Action,DARK SOULS™: Prepare To Die™ Edition,19.99,FromSoftware,2012.0
MeaTCompany,730,1,14,18481.0,Action,Counter-Strike: Global Offensive,14.99,Valve,2012.0
76561198156664158,252950,2,59,16470.0,Action,Rocket League®,19.99,"Psyonix, Inc.",2015.0
WeiEDKrSat,4000,1,28,16441.0,Indie,Garry's Mod,9.99,Facepunch Studios,2006.0
thequeenpanda,42910,1,524,1219.0,Action,Magicka,9.99,Arrowhead Game Studios,2011.0
death-hunter,232090,2,121,3789.0,Action,Killing Floor 2,29.99,Tripwire Interactive,2016.0
DJKamBer,304930,2,152,770.0,Action,Unturned,0.0,Smartly Dressed Games,2017.0
Rainbow-Dashie,730,2,59,21385.0,Action,Counter-Strike: Global Offensive,14.99,Valve,2012.0
Fr0stedLine,220,2,50,272.0,Action,Half-Life 2,9.99,Valve,2004.0
76561198058373434,8870,1,49,962.0,Action,BioShock Infinite,29.99,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)",2013.0
76561198048353577,368230,0,95,602.0,Indie,Kingdom: Classic,4.99,"Noio,Licorice",2015.0
tru_mu_,287980,1,62,620.0,Indie,Mini Metro,9.99,Dinosaur Polo Club,2015.0
SavageEeEe,221100,2,32,54642.0,Action,DayZ,34.99,Bohemia Interactive,2013.0
KanadeTheNeko,331470,2,73,45.0,Adventure,Everlasting Summer,0.0,Soviet Games,2014.0
Leaf_Light_Moscow,323370,2,5,390.0,Action,TERA,0.0,"Bluehole, Inc.",2015.0
GoAwayZach,304930,2,59,8496.0,Action,Unturned,0.0,Smartly Dressed Games,2017.0
76561198085547365,238460,2,65,667.0,Action,BattleBlock Theater®,14.99,The Behemoth,2014.0
76561198061252210,730,2,25,41281.0,Action,Counter-Strike: Global Offensive,14.99,Valve,2012.0
OfficialShroomsy,113200,1,51,1319.0,Action,The Binding of Isaac,4.99,Edmund McMillen and Florian Himsl,2011.0
VVillis,213670,1,168,132.0,Action,South Park™: The Stick of Truth™,29.99,Obsidian Entertainment,2014.0
76561198075277292,730,1,14,43739.0,Action,Counter-Strike: Global Offensive,14.99,Valve,2012.0
diego9031,4000,1,200,21928.0,Indie,Garry's Mod,9.99,Facepunch Studios,2006.0
Rivtex,298630,1,51,5145.0,Action,The Escapists,17.99,Mouldy Toof Studios,2015.0
sandwiches1,417860,1,172,55.0,Adventure,Emily is Away,0.0,Kyle Seeley,2015.0
Life-Of-Blu,377160,2,64,4509.0,RPG,Fallout 4,29.99,Bethesda Game Studios,2015.0
CaptianAutismo,252490,2,62,26620.0,Action,Rust,19.99,Facepunch Studios,2013.0
iamthekingofbrowntown,344760,0,124,917.0,Action,Reign Of Kings,19.99,Code}{atch,2015.0
MainScout,550,1,36,22568.0,Action,Left 4 Dead 2,19.99,Valve,2009.0
yookobz,377160,2,174,3899.0,RPG,Fallout 4,29.99,Bethesda Game Studios,2015.0
Posiblydead,277430,2,255,335.0,Action,Halo: Spartan Assault,2.99,"Vanguard Games,343 Industries",2014.0
76561198102421718,270550,1,88,117.0,Action,Yet Another Zombie Defense,1.99,Awesome Games Studio,2014.0
76561198056741844,730,1,257,37986.0,Action,Counter-Strike: Global Offensive,14.99,Valve,2012.0
sad-commie,294100,0,306,12272.0,Indie,RimWorld,29.99,Ludeon Studios,2016.0
76561198030567998,332800,1,75,22.0,Indie,Five Nights at Freddy's 2,7.99,Scott Cawthon,2014.0
Coldaniel,35450,2,133,7635.0,Action,Red Orchestra 2: Heroes of Stalingrad with Rising Storm,19.99,Tripwire Interactive,2011.0
Berserklejerker,391540,1,123,1643.0,Indie,Undertale,9.99,tobyfox,2015.0
76561198061730629,550,1,87,6287.0,Action,Left 4 Dead 2,19.99,Valve,2009.0
76561198060447950,200510,2,55,2190.0,Strategy,XCOM: Enemy Unknown,29.99,"Firaxis Games,Feral Interactive (Mac),Feral Interactive (Linux)",2012.0
whiteofwolfing,730,2,21,94334.0,Action,Counter-Strike: Global Offensive,14.99,Valve,2012.0
76561198081962345,200210,2,95,30338.0,Action,Realm of the Mad God,0.0,Wild Shadow Studios,2012.0
76561198073210139,304050,0,39,153.0,Action,Trove,0.0,Trion Worlds,2015.0
Nozomikat,265610,1,108,966.0,Adventure,Epic Battle Fantasy 4,11.99,Matt Roszak,2014.0
xfluttersx,351640,2,344,388.0,Action,Eternal Senia,0.0,Holy Priest,2015.0
76561198056290589,730,2,41,55168.0,Action,Counter-Strike: Global Offensive,14.99,Valve,2012.0
ii_voltage_ii,253710,2,456,15.0,Action,theHunter Classic,0.0,"Expansive Worlds,Avalanche Studios",2014.0
Hirukaz,550,1,81,4397.0,Action,Left 4 Dead 2,19.99,Valve,2009.0
